Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
68242.12,4051,323,199,53,182,526,911,525,5,919,424
88172.37,2329,927,70,15,3,0,792,230,4,778,213
103853.38,5276,3,607,567,651,106,1418,652,1,1522,381
82796.63,5967,133,1695,248,79,0,1397,806,0,1272,807
91648.22,4236,0,7,127,938,143,914,505,0,1186,162
301209.74,3939,712,121,84,139,50,1109,215,5,997,233
44841.42,4923,515,1166,235,223,79,945,1498,15,916,1414
78821.71,4032,423,365,334,277,68,1326,208,6,1155,265
52939.18,6488,416,1658,434,248,29,1729,1170,0,1491,1185
189620.73,5542,18,751,204,300,384,902,108,1068,1604,405
67353.41,3135,151,476,707,144,7,593,927,0,831,667
53348.57,4305,804,488,85,74,33,926,703,0,1059,464
46132.57,6673,766,1085,541,483,66,671,2532,46,1166,1950
108721.56,4345,13,113,341,389,425,1333,114,2,1266,82
75305.45,4428,476,748,278,279,57,1425,490,6,1235,621
45016.27,1657,476,145,100,43,26,0,853,0,209,589
59556.57,7927,33,141,601,502,834,38,3583,0,1930,1327
94758.5,6475,35,1791,288,141,62,2109,426,0,1937,582
90418.15,14319,78,142,54,40,38,3272,1860,20,3910,784
54047.95,3750,1244,476,81,89,11,565,1340,30,913,993
114908.68,3996,293,535,274,252,68,1408,335,0,1406,221
83469.6,6058,32,771,522,426,208,1861,469,174,1823,623
39711.65,1002,3,63,65,108,69,281,0,62,297,25
41675.04,3863,0,27,46,279,1001,96,1970,11,1088,838
72751.69,5151,744,854,233,78,48,1714,341,9,1504,503
46281.25,6449,983,790,360,240,149,1495,1269,87,1545,1164
121271.12,5365,136,398,123,595,152,1735,15,3,1642,38
47203.56,2500,809,366,47,21,0,43,1247,0,338,878
91158.51,8768,13,0,0,45,700,1795,83,0,1608,133
59489.9,7399,562,679,442,643,137,634,2157,5,1339,1295
68065.89,6592,24,899,473,230,131,1129,746,6,1261,492
94322.32,4409,455,293,143,66,160,1569,12,6,1191,141
78165.7,3832,140,1154,127,67,11,918,597,0,968,493
46777.46,4488,591,996,113,63,35,512,1355,20,673,1147
54108.1,820,322,46,24,15,0,21,392,5,119,278
80837.96,6477,514,439,276,292,203,782,1378,4,1345,701
54750,384,3,29,17,23,9,73,0,25,75,11
27314.36,1722,262,237,124,104,63,38,986,5,30,819
91704.49,7935,367,885,677,175,323,2712,280,0,2528,338
93612.83,3480,555,589,49,55,33,1244,63,0,1199,64
74657.09,4236,249,462,613,91,45,1079,474,0,1242,252
86049.21,8985,0,82,1238,511,383,2130,810,0,2364,373
24433.04,2231,148,325,149,28,7,135,570,0,34,634
84905.26,6105,172,1238,183,271,499,1409,1241,0,1189,1318
48530.44,4706,216,933,814,420,249,515,2379,5,1284,1459
55979.05,4426,327,1051,241,248,87,924,1114,4,1016,915
82539.6,3177,1107,222,26,18,26,1248,193,5,1176,247
48506.04,946,277,78,26,10,11,165,297,0,216,235
122869.9,5117,9,494,1063,103,50,1578,377,0,1600,251
84424.67,4748,18,394,553,521,4,1073,913,0,1199,665
78393.63,10229,0,69,379,245,1282,2064,434,0,1761,567
46990.42,2242,798,240,25,30,4,113,1003,0,218,837
105069.4,4766,272,689,366,286,78,1484,308,38,1426,392
